x,y,z,xt,yt,zt
-0.339604, -0.160530, -0.966451,0.000000, 0.000000, -0.000000
-0.256979, -0.138319, -1.002546,0.059480, 0.024511, -0.021864
-0.239502, -0.133397, -0.996881,0.344570, 0.124716, -0.223286
-0.253507, -0.135639, -1.019580,0.296978, 0.188353, -0.291881
-0.310379, -0.072375, -0.990963,0.285939, 0.194009, -0.301027
-0.316699, -0.078829, -0.986612,0.268336, 0.201021, -0.310958
-0.321757, -0.100761, -0.980986,0.208470, 0.203174, -0.345875
-0.339328, -0.105992, -0.966587,0.162004, 0.211040, -0.378098
-0.187178, -0.105270, -1.091536,0.129990, 0.207204, -0.398327
-0.069522, -0.156404, -1.043342,0.139109, 0.208562, -0.396110
-0.142342, -0.184797, -1.118058,0.054354, 0.010513, -0.051513
-0.096379, -0.193308, -1.119088,-0.003887, -0.010663, -0.039459
-0.049116, -0.126916, -0.999726,0.113133, 0.040056, -0.026214
-0.298065, -0.160699, -0.979402,0.101237, 0.034305, -0.021665
-0.374831, 0.027111, -0.982880,0.093629, 0.030569, -0.023188
-0.269440, 0.008942, -1.025270,0.020011, 0.016435, -0.114507
-0.279017, -0.002297, -1.014546,0.019340, 0.016981, -0.115515
-0.347967, -0.090661, -0.961018,0.013618, 0.017977, -0.201050
-0.343332, -0.099955, -0.968337,0.001760, 0.007918, -0.280333
-0.270506, -0.062402, -1.016460,-0.005147, 0.002740, -0.367024
-0.258901, -0.173593, -1.014993,0.001143, 0.008751, -0.390707
-0.076356, -0.146090, -1.065658,0.000804, 0.009905, -0.421112
-0.038795, -0.053877, -1.051456,0.002694, 0.002087, -0.452089
-0.321614, 0.091587, -0.994127,0.001753, 0.001565, -0.469338
-0.280682, 0.031166, -1.024799,0.001347, 0.009911, -0.494613
-0.310646, -0.102231, -0.984855,0.002016, 0.013015, -0.495301
-0.317878, -0.128006, -1.007650,0.003159, 0.016280, -0.495353
-0.294960, -0.002850, -1.006523,0.003537, 0.018975, -0.496094
-0.302137, -0.093749, -0.992446,0.003496, 0.019660, -0.496402
-0.127476, -0.014261, -1.110541,0.003459, 0.021007, -0.496791
-0.236030, -0.050585, -1.037589,0.003976, 0.023531, -0.496982
0.006295, -0.154148, -1.070728,0.003523, 0.023303, -0.497445
-0.026199, -0.042594, -1.046198,-0.005701, 0.019256, -0.515350
-0.293355, -0.106733, -1.000126,-0.005808, 0.017282, -0.510321
-0.091252, -0.142614, -1.101105,-0.005582, 0.014654, -0.507694
-0.260147, -0.059038, -1.023739,-0.005647, 0.012221, -0.502204
-0.289326, -0.117400, -1.000659,-0.000368, 0.018117, -0.437385
-0.349897, -0.104007, -0.961008,0.026189, 0.035222, -0.324325
-0.010583, -0.126770, -1.005524,0.020379, 0.031076, -0.345684
-0.199903, -0.149358, -1.053929,0.018478, 0.030167, -0.350840
-0.185899, -0.096816, -1.090554,0.018985, 0.030411, -0.350102
-0.127661, 0.001884, -1.061473,0.018212, 0.030154, -0.352433
-0.232139, -0.127645, -1.033886,0.172933, 0.200882, -0.381139
-0.043683, -0.180980, -1.097898,0.086415, 0.191477, -0.427658
-0.034920, -0.121492, -1.107499,0.185431, 0.207680, -0.381231
-0.033982, -0.082734, -1.048891,0.208995, 0.209036, -0.368095
-0.314369, -0.119022, -0.982209,0.235510, 0.206494, -0.352073
-0.339364, -0.168399, -0.953326,0.283865, 0.168849, -0.311308
-0.253374, -0.101363, -1.024130,0.329481, 0.113194, -0.271458
-0.308613, -0.089149, -0.988907,0.342062, 0.119960, -0.252918
-0.113449, -0.009459, -1.073682,0.343652, 0.122828, -0.252870
-0.015805, -0.115358, -1.016196,0.343388, 0.123663, -0.252321
-0.138851, -0.052600, -1.069125,0.039895, 0.074490, -0.017182
-0.236600, -0.050489, -1.038599,0.049374, 0.075857, -0.119351
-0.320904, -0.160771, -0.970306,0.049953, 0.076185, -0.118357
-0.111335, -0.124037, -1.133069,0.050674, 0.075678, -0.115115
-0.095574, 0.002713, -1.101790,0.043897, 0.073316, -0.132483
-0.364154, 0.032145, -0.999685, , , 
-0.173982, -0.188056, -1.108888, , , 
-0.233247, -0.138332, -1.032816, , , 
0.008333, -0.153340, -1.067114, , , 
-0.233493, -0.169619, -1.024617, , , 
0.015710, -0.162979, -1.011403, , , 
-0.310403, -0.096602, -0.988137, , , 
-0.302316, -0.104822, -0.992693, , , 
-0.121185, 0.003075, -1.048768, , , 
-0.260173, -0.087070, -1.021319, , , 
-0.352758, -0.039494, -0.991810, , , 
-0.351954, -0.050931, -0.972825, , , 
-0.236462, -0.159583, -1.035125, , , 
-0.300016, -0.001449, -1.012168, , , 
-0.231999, -0.127108, -1.031983, , , 
-0.270095, 0.007817, -1.024750, , , 
-0.336226, -0.155559, -0.953818, , , 
-0.222476, -0.153462, -1.037199, , , 
-0.202830, -0.212123, -1.294210, , , 
-0.070590, -0.154903, -1.072658, , , 
-0.104753, -0.163903, -1.136454, , , 
-0.320000, -0.138747, -0.977193, , , 
-0.236376, -0.167708, -1.027605, , , 
-0.039070, -0.111361, -0.973424, , , 
-0.236812, -0.091245, -1.032996, , , 
-0.006462, -0.053380, -1.037743, , , 
