x,y,z,xt,yt,zt
-0.307342, -0.323557, -1.358591, 0.0000000, 0.0000000, 0.0000000
-0.520378, 0.020753, -0.973123, -0.0104442, 0.0310007, 0.1299631
-0.414950, 0.027814, -0.986561, 0.0132946, -0.0454493, -0.3279751
-0.743873, -0.358087, -1.389050, 0.0015591, 0.0098685, 0.1666069
-0.341993, -0.287443, -1.327984, 0.3252856, -0.0269533, -0.1556791
-0.450472, -0.030236, -1.014816, 0.2719014, -0.0283549, -0.1678238
-0.483040, -0.020573, -1.006928, -0.3137441, 0.0199124, -0.1376509
-0.370537, 0.228171, -0.797901, 0.2119614, -0.0273305, -0.1376570
0.026375, 0.225409, -0.810852, 0.3191776, -0.0082013, -0.1399311
-0.108239, 0.063424, -0.875156, 0.2681934, -0.0194589, -0.1390336
-0.337514, 0.206004, -0.829013, -0.3288670, -0.0104650, -0.1092471
0.002819, -0.043516, -0.889524, -0.3540285, -0.0166324, -0.1052416
-0.320020, -0.164505, -1.080236, 0.2413955, 0.0004289, -0.0534280
-0.156637, -0.316352, -1.313343, 0.2791562, -0.0033176, -0.0647916
-0.134222, 0.088189, -0.754264, 0.2103787, -0.0040769, -0.0723292
-0.036910, 0.234482, -0.801718, -0.0537566, -0.1845229, -0.0314634
-0.087803, 0.260586, -0.781122, -0.0556249, -0.2480788, -0.0160006
-0.178303, 0.202314, -0.804302, -0.0561977, 0.2265659, -0.1069598
-0.478075, -0.354758, -1.351742, -0.0525157, -0.2093334, 0.0013628
-0.338155, -0.392332, -1.445892, -0.0652100, -0.1405191, -0.0340309
-0.102705, -0.076280, -1.001030, -0.0317097, 0.1418735, -0.0721501
-0.207828, -0.030848, -0.933010, -0.0322110, 0.1336183, -0.0734357
-0.166405, -0.211487, -1.191718, -0.0407213, 0.0992363, -0.0563786
-0.134709, 0.254558, -0.765271, -0.0382078, 0.0848962, -0.0439435
-0.395965, -0.135720, -1.142115, , , 
-0.150581, -0.066054, -0.730093, , , 
-0.282674, -0.103105, -0.943069, , , 
-0.717868, -0.300119, -1.725371, , , 
-0.114351, -0.188917, -0.808002, , , 
-0.424028, -0.330600, -1.492820, , , 
-0.207030, -0.064197, -0.777203, , , 
-0.223486, -0.073022, -0.835593, , , 
-0.516037, -0.346838, -1.730793, , , 
-0.441510, -0.278592, -1.481001, , , 
-0.481844, -0.273578, -1.602725, , , 
-0.192328, -0.075924, -0.819719, , , 
-0.189806, -0.078254, -0.807330, , , 
-0.166006, -0.064541, -0.728829, , , 
-0.194789, -0.089054, -0.827379, , , 
-0.341496, -0.102969, -1.017918, , , 
-0.319424, -0.124092, -1.008107, , , 
-0.172120, -0.029808, -0.794761, , , 
-0.283404, -0.068917, -0.998926, , , 
-0.207240, -0.076010, -0.836222, , , 
-0.098594, -0.085942, -0.781807, , , 
-0.092173, -0.014585, -0.728559, , , 
-0.314767, -0.259234, -1.271774, , , 
-0.305711, -0.236047, -1.194754, , , 
-0.384604, -0.286120, -1.404775, , , 
-0.284401, -0.323597, -1.248334, , , 
-0.330885, -0.358350, -1.378740, , , 
-0.324371, -0.308296, -1.319117, , , 
-0.253451, -0.272619, -1.114905, , , 
-0.195895, -0.095935, -0.870912, , , 
-0.442038, -0.265103, -1.478640, , , 
-0.322590, -0.116624, -0.995846, , , 
-0.601678, -0.206177, -1.600693, , , 
-0.148500, -0.137154, -0.859086, , , 
-0.161080, -0.067238, -0.777298, , , 
-0.382976, -0.140642, -1.138142, , , 
-0.174221, -0.084865, -0.818672, , , 
-0.488001, -0.281268, -1.596924, , , 
-0.498850, -0.284297, -1.596259, , , 
-0.363857, -0.159454, -1.166841, , , 
-0.148616, -0.089906, -0.812056, , , 
-0.154228, -0.055950, -0.748191, , , 
